"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Kentucky,Hart,Democrat,18199,44.2,1879
Texas,Carson,Democrat,6182,6.7,80
Georgia,Muscogee,Democrat,189885,877.5,16120
Kentucky,Edmonson,Democrat,12161,40.2,537
Nevada,Eureka,Democrat,1987,0.5,22
North Carolina,Haywood,Democrat,59036,106.6,7621
Oklahoma,Jefferson,Democrat,6472,8.5,544
Oregon,Marion,Democrat,315335,266.7,29597
Colorado,Elbert,Democrat,23086,12.5,233
Iowa,Guthrie,Democrat,10954,18.5,400
West Virginia,Pleasants,Democrat,7605,58.5,874
Wisconsin,La Crosse,Democrat,114638,253.8,24040
Iowa,Bremer,Democrat,24276,55.7,1200
California,Lassen,Democrat,34895,7.7,1460
Pennsylvania,Tioga,Democrat,41981,37.0,2255
Montana,Phillips,Democrat,4253,0.8,170
Idaho,Washington,Democrat,10198,7.0,106
Nebraska,Scotts Bluff,Democrat,36970,50.0,329
North Carolina,Graham,Democrat,8861,30.3,616
Iowa,Pottawattamie,Democrat,93158,98.0,3099
Florida,Hardee,Democrat,27731,43.5,922
New Jersey,Hunterdon,Democrat,128349,300.0,10420
Missouri,Camden,Democrat,44002,67.1,2807
West Virginia,Tucker,Democrat,7141,17.0,1100
Oklahoma,McClain,Democrat,34506,60.5,3022
West Virginia,Harrison,Democrat,69099,166.1,9554
Illinois,Alexander,Democrat,8238,35.0,1204
Texas,Orange,Democrat,81837,245.3,2668
North Carolina,Catawba,Democrat,154358,387.1,9871
Louisiana,St. James,Democrat,22102,91.5,2438
Kentucky,Whitley,Democrat,35637,81.4,931
Indiana,Jasper,Democrat,33478,59.8,2233
Oklahoma,Pontotoc,Democrat,37492,52.0,3578
Arkansas,Mississippi,Democrat,46480,51.6,2359
Texas,Comanche,Democrat,13974,14.9,333
Pennsylvania,Fulton,Democrat,14845,33.9,730
Arkansas,Saint Francis,Democrat,28258,44.5,2266
Ohio,Pickaway,Democrat,55698,111.1,3728
Illinois,Douglas,Democrat,19980,48.0,1126
Virginia,New Kent,Democrat,18429,87.9,1391
Illinois,Clinton,Democrat,37762,79.7,2172
South Dakota,Hughes,Democrat,17022,23.0,1017
Wisconsin,Jackson,Democrat,20449,20.7,3139
Michigan,Muskegon,Democrat,172188,344.9,18282
